"","Mode","ORegionDAT","DRegionDAT","yw","sanitized_cost","approx_cost","prcp","tmax"
"1","R","AZ_PHO","IL_CHI",2017 W01,1.72327908395999,1.72327908395999,0.00142857142857143,68.5714285714286
"2","R","AZ_PHO","IL_CHI",2017 W02,1.71864506811874,1.71864506811874,0.00571428571428571,68.5
"3","R","AZ_PHO","IL_CHI",2017 W03,1.67456149867101,1.67456149867101,0.108571428571429,63
"4","R","AZ_PHO","IL_CHI",2017 W04,1.64947964918458,1.64947964918458,0.00428571428571429,63.1428571428571
"5","R","AZ_PHO","IL_CHI",2017 W05,1.64748763248327,1.64748763248327,0,77.1666666666667
"6","R","AZ_PHO","IL_CHI",2017 W06,1.56696367511145,1.56696367511145,0,78.1666666666667
"7","R","AZ_PHO","IL_CHI",2017 W07,1.55877115866328,1.55877115866328,0.131428571428571,74
"8","R","AZ_PHO","IL_CHI",2017 W08,1.56491804652337,1.56491804652337,0,72
"9","R","AZ_PHO","IL_CHI",2017 W09,1.5680046930164,1.5680046930164,0.0514285714285714,74.1428571428571
"10","R","AZ_PHO","IL_CHI",2017 W10,1.53402669566151,1.53402669566151,0,84.2857142857143
"11","R","AZ_PHO","IL_CHI",2017 W11,1.5517831582418,1.5517831582418,0,94.1428571428571
"12","R","AZ_PHO","IL_CHI",2017 W12,1.55766736192325,1.55766736192325,0.00857142857142857,86.6666666666667
"13","R","AZ_PHO","IL_CHI",2017 W13,1.65029546969154,1.65029546969154,0,79.3333333333333
"14","R","AZ_PHO","IL_CHI",2017 W14,1.62670788901086,1.62670788901086,0,86.3333333333333
"15","R","AZ_PHO","IL_CHI",2017 W15,NA,1.68448953660617,0,90
"16","R","AZ_PHO","IL_CHI",2017 W16,NA,1.74227118420147,0,93.6666666666667
"17","R","AZ_PHO","IL_CHI",2017 W17,NA,1.80005283179678,0,88.75
"18","R","AZ_PHO","IL_CHI",2017 W18,NA,1.85783447939208,0,98.4
"19","R","AZ_PHO","IL_CHI",2017 W19,NA,1.91561612698739,0.00571428571428571,88.8
"20","R","AZ_PHO","IL_CHI",2017 W20,NA,1.9733977745827,0,89.6
"21","R","AZ_PHO","IL_CHI",2017 W21,2.031179422178,2.031179422178,0,100.8
"22","R","AZ_PHO","IL_CHI",2017 W22,1.96885430764038,1.96885430764038,0,101
"23","R","AZ_PHO","IL_CHI",2017 W23,1.99564758648893,1.99564758648893,0,103.5
"24","R","AZ_PHO","IL_CHI",2017 W24,NA,1.91928258032881,0,105
"25","R","AZ_PHO","IL_CHI",2017 W25,NA,1.84291757416869,0,114
"26","R","AZ_PHO","IL_CHI",2017 W26,NA,1.76655256800856,0,107.166666666667
"27","R","AZ_PHO","IL_CHI",2017 W27,NA,1.69018756184844,0,108.428571428571
"28","R","AZ_PHO","IL_CHI",2017 W28,1.61382255568832,1.61382255568832,0,104.833333333333
"29","R","AZ_PHO","IL_CHI",2017 W29,NA,1.64327561133794,0.0485714285714286,101.857142857143
"30","R","AZ_PHO","IL_CHI",2017 W30,NA,1.67272866698757,0.151428571428571,102.4
"31","R","AZ_PHO","IL_CHI",2017 W31,NA,1.70218172263719,0.16,101.857142857143
"32","R","AZ_PHO","IL_CHI",2017 W32,NA,1.73163477828682,0.0371428571428571,105.333333333333
"33","R","AZ_PHO","IL_CHI",2017 W33,NA,1.76108783393644,0.0185714285714286,101.714285714286
