,yw,Mode,ORegionDAT,DRegionDAT,approx_cost,sanitized_cost,prcp,tmax,sanitized_vol,approx_vol,tmax_lag_12,tmax_lag_8,tmax_lag_4,tmax_lag_2,prcp_lag_12,prcp_lag_8,prcp_lag_4,prcp_lag_2,cluster_1,cluster_2,cluster_3,diesel_price
1,2017 W01,R,AZ_PHO,IL_CHI,1.723279084,1.723279084,0,64.14285714,16.43715248,16.43715248,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2.586
2,2017 W02,R,AZ_PHO,IL_CHI,1.718645068,1.718645068,0,68.14285714,13.07992662,13.07992662,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2.597
3,2017 W03,R,AZ_PHO,IL_CHI,1.674561499,1.674561499,0.025714286,66,11.33816523,11.33816523,NA,NA,NA,67.07142857,NA,NA,NA,0.012857143,0,0,1,2.585
4,2017 W04,R,AZ_PHO,IL_CHI,1.649479649,1.649479649,0,63.14285714,16.06959233,16.06959233,NA,NA,NA,64.57142857,NA,NA,NA,0.012857143,0,0,1,2.569
5,2017 W05,R,AZ_PHO,IL_CHI,1.647487632,1.647487632,0,74.85714286,13.72125181,13.72125181,NA,NA,68.03571429,69,NA,NA,0.006428571,0,0,0,1,2.562
6,2017 W06,R,AZ_PHO,IL_CHI,1.566963675,1.566963675,0.002857143,77.42857143,11.11818659,11.11818659,NA,NA,70.35714286,76.14285714,NA,NA,0.007142857,0.001428571,0,0,1,2.558
7,2017 W07,R,AZ_PHO,IL_CHI,1.558771159,1.558771159,0.124285714,74.14285714,11.05895738,11.05895738,NA,NA,72.39285714,75.78571429,NA,NA,0.031785714,0.063571429,0,0,1,2.565
8,2017 W08,R,AZ_PHO,IL_CHI,1.564918047,1.564918047,0,69.71428571,14.94792389,14.94792389,NA,NA,74.03571429,71.92857143,NA,NA,0.031785714,0.062142857,0,0,1,2.572
9,2017 W09,R,AZ_PHO,IL_CHI,1.568004693,1.568004693,0.047142857,71.85714286,14.30057381,14.30057381,NA,70.66071429,73.28571429,70.78571429,NA,0.025,0.043571429,0.023571429,0,0,1,2.577
10,2017 W10,R,AZ_PHO,IL_CHI,1.534026696,1.534026696,0,83.14285714,16.94508308,16.94508308,NA,72.53571429,74.71428571,77.5,NA,0.025,0.042857143,0.023571429,0,0,1,2.579
11,2017 W11,R,AZ_PHO,IL_CHI,1.551783158,1.551783158,0,95.14285714,15.1388354,15.1388354,NA,76.17857143,79.96428571,89.14285714,NA,0.021785714,0.011785714,0,0,0,1,2.564
12,2017 W12,R,AZ_PHO,IL_CHI,1.557667362,1.557667362,0.01,83.85714286,15.02157395,15.02157395,NA,78.76785714,83.5,89.5,NA,0.023035714,0.014285714,0.005,1,0,0,2.539
13,2017 W13,R,AZ_PHO,IL_CHI,1.65029547,1.65029547,0,83.28571429,9.003945133,9.003945133,75.89285714,79.82142857,86.35714286,83.57142857,0.0175,0.023035714,0.0025,0.005,1,0,0,2.532
14,2017 W14,R,AZ_PHO,IL_CHI,1.626707889,1.626707889,0,87.14285714,7.018263841,7.018263841,77.47619048,81.03571429,87.35714286,85.21428571,0.0175,0.022678571,0.0025,0,1,0,0,2.556
15,2017 W15,R,AZ_PHO,IL_CHI,1.684489537,NA,0,89,NA,7.862456906,79.39285714,82.89285714,85.82142857,88.07142857,0.015357143,0.007142857,0.0025,0,1,0,0,2.582
16,2017 W16,R,AZ_PHO,IL_CHI,1.742271184,NA,0,94.57142857,NA,8.706649971,82.01190476,86,88.5,91.78571429,0.015357143,0.007142857,0,0,1,0,0,2.597
17,2017 W17,R,AZ_PHO,IL_CHI,1.800052832,NA,0,89.57142857,NA,9.550843035,83.23809524,88.21428571,90.07142857,92.07142857,0.015357143,0.00125,0,0,0,1,0,2.595
18,2017 W18,R,AZ_PHO,IL_CHI,1.857834479,NA,0,95.57142857,NA,10.3950361,84.75,89.76785714,92.17857143,92.57142857,0.015119048,0.00125,0,0,0,1,0,2.583
19,2017 W19,R,AZ_PHO,IL_CHI,1.915616127,NA,0.005714286,86,NA,11.23922916,85.73809524,88.625,91.42857143,90.78571429,0.005238095,0.001964286,0.001428571,0.002857143,0,0,1,2.565
20,2017 W20,R,AZ_PHO,IL_CHI,1.973397775,NA,0,89.14285714,NA,12.08342223,87.35714286,89.28571429,90.07142857,87.57142857,0.005238095,0.000714286,0.001428571,0.002857143,0,1,0,2.544
21,2017 W21,R,AZ_PHO,IL_CHI,2.031179422,2.031179422,0,102.5714286,12.92761529,12.92761529,89.91666667,91.69642857,93.32142857,95.85714286,0.001309524,0.000714286,0.001428571,0,0,1,0,2.539
22,2017 W22,R,AZ_PHO,IL_CHI,1.968854308,1.968854308,0,101.2857143,8.117753931,8.117753931,91.42857143,93.46428571,94.75,101.9285714,0.001309524,0.000714286,0.001428571,0,0,1,0,2.571
23,2017 W23,R,AZ_PHO,IL_CHI,1.995647586,1.995647586,0,102.7142857,11.74694926,11.74694926,92.05952381,95.17857143,98.92857143,102,0.001309524,0.000714286,0,0,0,1,0,2.564
24,2017 W24,R,AZ_PHO,IL_CHI,1.91928258,NA,0,105.1428571,NA,10.82023727,93.83333333,96.5,102.9285714,103.9285714,0.00047619,0.000714286,0,0,0,1,0,2.524
25,2017 W25,R,AZ_PHO,IL_CHI,1.842917574,NA,0,114.5714286,NA,9.893525283,96.44047619,99.625,105.9285714,109.8571429,0.00047619,0.000714286,0,0,0,1,0,2.489
26,2017 W26,R,AZ_PHO,IL_CHI,1.766552568,NA,0,109.5714286,NA,8.966813296,98.30952381,101.375,108,112.0714286,0.00047619,0.000714286,0,0,0,1,0,2.465
27,2017 W27,R,AZ_PHO,IL_CHI,1.690187562,NA,0,111.4285714,NA,8.040101309,100.1785714,104.5535714,110.1785714,110.5,0.00047619,0,0,0,0,0,1,2.472
28,2017 W28,R,AZ_PHO,IL_CHI,1.613822556,1.613822556,0,108.5714286,7.113389322,7.113389322,101.3452381,106.9821429,111.0357143,110,0.00047619,0,0,0,0,0,1,2.481
29,2017 W29,R,AZ_PHO,IL_CHI,1.643275611,NA,0,106.2857143,NA,7.029957928,102.7380952,107.4464286,108.9642857,107.4285714,0.00047619,0,0,0,0,0,1,2.491
30,2017 W30,R,AZ_PHO,IL_CHI,1.672728667,NA,0.005714286,106.4285714,NA,6.946526533,103.6428571,108.0892857,108.1785714,106.3571429,0.000952381,0.000714286,0.001428571,0.002857143,0,0,1,2.507
31,2017 W31,R,AZ_PHO,IL_CHI,1.702181723,NA,0,107,NA,6.863095139,105.3928571,108.625,107.0714286,106.7142857,0.00047619,0.000714286,0.001428571,0.002857143,0,0,1,2.531
32,2017 W32,R,AZ_PHO,IL_CHI,1.731634778,NA,0,109.4285714,NA,6.779663744,107.0833333,109.1607143,107.2857143,108.2142857,0.00047619,0.000714286,0.001428571,0,0,0,1,2.581
33,2017 W33,R,AZ_PHO,IL_CHI,1.761087834,NA,0,105.1428571,NA,6.696232349,107.297619,107.9821429,107,107.2857143,0.00047619,0.000714286,0.001428571,0,0,0,1,2.598
34,2017 W34,R,AZ_PHO,IL_CHI,1.79054089,NA,0,109.1428571,NA,6.612800955,107.952381,107.9285714,107.6785714,107.1428571,0.00047619,0.000714286,0,0,0,0,1,2.596
35,2017 W35,R,AZ_PHO,IL_CHI,1.819993945,NA,0,108,NA,6.52936956,108.3928571,107.5,107.9285714,108.5714286,0.00047619,0.000714286,0,0,0,0,1,2.605
36,2017 W36,R,AZ_PHO,IL_CHI,1.849447001,NA,0.032857143,102.2857143,NA,6.445938166,108.1547619,106.7142857,106.1428571,105.1428571,0.003214286,0.004821429,0.008214286,0.016428571,0,0,1,2.758
37,2017 W37,R,AZ_PHO,IL_CHI,1.878900057,NA,0,100.8571429,NA,6.362506771,107.0119048,106.0357143,105.0714286,101.5714286,0.003214286,0.004821429,0.008214286,0.016428571,0,0,1,2.802
38,2017 W38,R,AZ_PHO,IL_CHI,1.908353112,NA,0,92.57142857,NA,6.279075377,105.5952381,104.3035714,100.9285714,96.71428571,0.003214286,0.004107143,0.008214286,0,0,1,0,2.791
39,2017 W39,R,AZ_PHO,IL_CHI,1.937806168,NA,0,95.28571429,NA,6.195643982,104.25,102.8392857,97.75,93.92857143,0.003214286,0.004107143,0.008214286,0,0,0,1,2.788
40,2017 W40,R,AZ_PHO,IL_CHI,1.967259223,NA,0,95,NA,6.112212588,103.1190476,101.0357143,95.92857143,95.14285714,0.003214286,0.004107143,0,0,0,0,1,2.792
41,2017 W41,R,AZ_PHO,IL_CHI,1.996712279,NA,0,92.14285714,NA,6.028781193,101.9404762,99.41071429,93.75,93.57142857,0.003214286,0.004107143,0,0,0,0,1,2.776
42,2017 W42,R,AZ_PHO,IL_CHI,2.026165335,NA,0,92.71428571,NA,5.945349799,100.797619,97.35714286,93.78571429,92.42857143,0.002738095,0.004107143,0,0,0,1,0,2.787
43,2017 W43,R,AZ_PHO,IL_CHI,2.05561839,NA,0,95.57142857,NA,5.861918404,99.8452381,95.80357143,93.85714286,94.14285714,0.002738095,0.004107143,0,0,0,0,1,2.797
44,2017 W44,R,AZ_PHO,IL_CHI,2.085071446,NA,0,81,NA,5.77848701,97.47619048,93.14285714,90.35714286,88.28571429,0.002738095,0,0,0,0,1,0,2.819
45,2017 W45,R,AZ_PHO,IL_CHI,2.114524502,NA,0,83.71428571,NA,5.695055615,95.69047619,91,88.25,82.35714286,0.002738095,0,0,0,0,0,1,2.882
46,2017 W46,R,AZ_PHO,IL_CHI,2.143977557,NA,0,82.71428571,NA,5.611624221,93.48809524,89.76785714,85.75,83.21428571,0.002738095,0,0,0,0,1,0,2.915
47,2017 W47,R,AZ_PHO,IL_CHI,2.173430613,2.173430613,0,86,5.528192826,5.528192826,91.6547619,88.60714286,83.35714286,84.35714286,0.002738095,0,0,0,0,1,0,2.912
48,2017 W48,R,AZ_PHO,IL_CHI,2.176144249,2.176144249,0,76.42857143,11.1116994,11.1116994,89.5,86.28571429,82.21428571,81.21428571,0,0,0,0,0,0,1,2.926
49,2017 W49,R,AZ_PHO,IL_CHI,2.244811006,2.244811006,0,71.85714286,11.49457895,11.49457895,87.08333333,83.75,79.25,74.14285714,0,0,0,0,0,1,0,2.922
50,2017 W50,R,AZ_PHO,IL_CHI,2.286512298,2.286512298,0,75,12.72392382,12.72392382,85.61904762,81.53571429,77.32142857,73.42857143,0,0,0,0,0,0,1,2.91
51,2017 W51,R,AZ_PHO,IL_CHI,2.328764264,2.328764264,0,65.85714286,9.016385759,9.016385759,83.16666667,77.82142857,72.28571429,70.42857143,0,0,0,0,0,1,0,2.901
52,2017 W52,R,AZ_PHO,IL_CHI,2.531657203,2.531657203,0,72.85714286,9.89931945,9.89931945,81.32142857,76.80357143,71.39285714,69.35714286,0,0,0,0,0,1,0,2.903
53,2018 W01,R,AZ_PHO,IL_CHI,2.641075019,2.641075019,0,76.14285714,15.90039511,15.90039511,79.98809524,75.85714286,72.46428571,74.5,0,0,0,0,0,0,1,2.973
54,2018 W02,R,AZ_PHO,IL_CHI,2.482077963,2.482077963,0.027142857,74.57142857,14.95217721,14.95217721,78.47619048,74.83928571,72.35714286,75.35714286,0.002261905,0.003392857,0.006785714,0.013571429,0,1,0,2.996
55,2018 W03,R,AZ_PHO,IL_CHI,2.317382729,2.317382729,0,72.85714286,16.62681552,16.62681552,76.58333333,73.19642857,74.10714286,73.71428571,0.002261905,0.003392857,0.006785714,0.013571429,0,0,1,3.028
56,2018 W04,R,AZ_PHO,IL_CHI,2.091705019,2.091705019,0,72.14285714,13.74887075,13.74887075,75.8452381,72.66071429,73.92857143,72.5,0.002261905,0.003392857,0.006785714,0,0,1,0,3.025
57,2018 W05,R,AZ_PHO,IL_CHI,1.971439203,1.971439203,0,82.57142857,16.31611486,16.31611486,75.75,74,75.53571429,77.35714286,0.002261905,0.003392857,0.006785714,0,0,1,0,3.07
58,2018 W06,R,AZ_PHO,IL_CHI,1.881418278,1.881418278,0,81.71428571,18.04789752,18.04789752,75.66666667,74.83928571,77.32142857,82.14285714,0.002261905,0.003392857,0,0,0,0,1,3.086
59,2018 W07,R,AZ_PHO,IL_CHI,1.711431989,1.711431989,0.004285714,71.42857143,17.44931611,17.44931611,74.45238095,75.53571429,76.96428571,76.57142857,0.002619048,0.003928571,0.001071429,0.002142857,0,0,1,3.063
60,2018 W08,R,AZ_PHO,IL_CHI,1.676094266,1.676094266,0,63.28571429,14.77500445,14.77500445,73.35714286,74.33928571,74.75,67.35714286,0.002619048,0.003928571,0.001071429,0.002142857,0,0,1,3.027
61,2018 W09,R,AZ_PHO,IL_CHI,1.697004598,1.697004598,0,69.28571429,16.83448982,16.83448982,73.14285714,73.48214286,71.42857143,66.28571429,0.002619048,0.003928571,0.001071429,0,0,0,1,3.007
62,2018 W10,R,AZ_PHO,IL_CHI,1.660867019,NA,0,78.71428571,NA,13.34370443,73.45238095,74,70.67857143,74,0.002619048,0.000535714,0.001071429,0,0,1,0,2.992
63,2018 W11,R,AZ_PHO,IL_CHI,1.624729439,1.624729439,0,76.85714286,9.852919049,9.852919049,74.36904762,74.5,72.03571429,77.78571429,0.002619048,0.000535714,0,0,0,0,1,2.976
64,2018 W12,R,AZ_PHO,IL_CHI,1.711954628,1.711954628,0,80.85714286,12.60579632,12.60579632,75.03571429,75.58928571,76.42857143,78.85714286,0.002619048,0.000535714,0,0,0,0,1,2.972
65,2018 W13,R,AZ_PHO,IL_CHI,1.752210761,1.752210761,0,86.85714286,11.33654284,11.33654284,75.92857143,76.125,80.82142857,83.85714286,0.002619048,0.000535714,0,0,0,0,1,3.01
66,2018 W14,R,AZ_PHO,IL_CHI,1.901928563,1.901928563,0,91.28571429,8.100390674,8.100390674,77.32142857,77.32142857,83.96428571,89.07142857,0.000357143,0.000535714,0,0,0,0,1,3.042
67,2018 W15,R,AZ_PHO,IL_CHI,1.980525647,NA,0,90.42857143,NA,8.295222537,78.78571429,79.69642857,87.35714286,90.85714286,0.000357143,0,0,0,0,1,0,3.043
68,2018 W16,R,AZ_PHO,IL_CHI,2.059122731,NA,0,84.28571429,NA,8.490054401,79.79761905,82.32142857,88.21428571,87.35714286,0.000357143,0,0,0,0,1,0,3.104
69,2018 W17,R,AZ_PHO,IL_CHI,2.137719815,NA,0,96.28571429,NA,8.684886264,80.94047619,85.69642857,90.57142857,90.28571429,0.000357143,0,0,0,0,1,0,3.133
70,2018 W18,R,AZ_PHO,IL_CHI,2.216316899,NA,0,89.85714286,NA,8.879718127,81.61904762,87.08928571,90.21428571,93.07142857,0.000357143,0,0,0,0,0,1,3.157
71,2018 W19,R,AZ_PHO,IL_CHI,2.294913983,2.294913983,0,98.42857143,9.07454999,9.07454999,83.86904762,89.78571429,92.21428571,94.14285714,0,0,0,0,0,0,1,3.171
72,2018 W20,R,AZ_PHO,IL_CHI,2.560644542,NA,0,95,NA,10.50974526,86.51190476,91.55357143,94.89285714,96.71428571,0,0,0,0,0,0,1,3.239
73,2018 W21,R,AZ_PHO,IL_CHI,2.826375101,2.826375101,0,92.57142857,11.94494052,11.94494052,88.45238095,92.26785714,93.96428571,93.78571429,0,0,0,0,0,0,1,3.277
74,2018 W22,R,AZ_PHO,IL_CHI,2.571935858,2.571935858,0,102,17.75625573,17.75625573,90.39285714,93.60714286,97,97.28571429,0,0,0,0,0,0,1,3.288
75,2018 W23,R,AZ_PHO,IL_CHI,2.449814021,2.449814021,0,105.2857143,10.60618993,10.60618993,92.76190476,95.46428571,98.71428571,103.6428571,0,0,0,0,0,0,1,3.285
76,2018 W24,R,AZ_PHO,IL_CHI,2.295505242,NA,0,104.1428571,NA,10.04045561,94.70238095,97.94642857,101,104.7142857,0,0,0,0,0,0,1,3.266
77,2018 W25,R,AZ_PHO,IL_CHI,2.141196463,NA,0,104.8571429,NA,9.474721303,96.20238095,99.01785714,104.0714286,104.5,0,0,0,0,0,0,1,3.244
78,2018 W26,R,AZ_PHO,IL_CHI,1.986887684,1.986887684,0,106.2857143,8.908986991,8.908986991,97.45238095,101.0714286,105.1428571,105.5714286,0,0,0,0,0,0,1,3.216
79,2018 W27,R,AZ_PHO,IL_CHI,1.999566745,NA,0,111.1428571,NA,9.092810075,99.17857143,102.6607143,106.6071429,108.7142857,0,0,0,0,0,0,1,3.236
80,2018 W28,R,AZ_PHO,IL_CHI,2.012245807,NA,0.044285714,105.1428571,NA,9.276633159,100.9166667,103.9285714,106.8571429,108.1428571,0.003690476,0.005535714,0.011071429,0.022142857,0,0,1,3.243
81,2018 W29,R,AZ_PHO,IL_CHI,2.024924868,NA,0.008571429,105.4285714,NA,9.460456243,101.6785714,105.5357143,107,105.2857143,0.004404762,0.006607143,0.013214286,0.026428571,0,0,1,3.239
82,2018 W30,R,AZ_PHO,IL_CHI,2.037603929,NA,0,112.5714286,NA,9.644279327,103.5714286,106.8571429,108.5714286,109,0.004404762,0.006607143,0.013214286,0.004285714,0,0,1,3.22
83,2018 W31,R,AZ_PHO,IL_CHI,2.050282991,NA,0,111.5714286,NA,9.828102411,104.6666667,107.6428571,108.6785714,112.0714286,0.004404762,0.006607143,0.013214286,0,0,0,1,3.226
84,2018 W32,R,AZ_PHO,IL_CHI,2.062962052,NA,0,107.5714286,NA,10.01192549,105.7142857,108.0714286,109.2857143,109.5714286,0.004404762,0.006607143,0.002142857,0,0,0,1,3.223
85,2018 W33,R,AZ_PHO,IL_CHI,2.075641113,NA,0.037142857,105.2857143,NA,10.19574858,106.7738095,108.125,109.25,106.4285714,0.0075,0.01125,0.009285714,0.018571429,0,0,1,3.217
86,2018 W34,R,AZ_PHO,IL_CHI,2.088320175,NA,0,106.4285714,NA,10.37957166,107.1428571,108.1428571,107.7142857,105.8571429,0.0075,0.01125,0.009285714,0.018571429,0,0,1,3.207
87,2018 W35,R,AZ_PHO,IL_CHI,2.100999236,NA,0,105.8571429,NA,10.56339475,107.1904762,107.4821429,106.2857143,106.1428571,0.0075,0.01125,0.009285714,0,0,0,1,3.226
88,2018 W36,R,AZ_PHO,IL_CHI,2.113678297,NA,0,105.8571429,NA,10.74721783,107.3333333,107.5714286,105.8571429,105.8571429,0.0075,0.005714286,0.009285714,0,0,0,1,3.252
89,2018 W37,R,AZ_PHO,IL_CHI,2.126357358,NA,0,106.8571429,NA,10.93104091,107.5,107.75,106.25,106.3571429,0.0075,0.004642857,0,0,0,1,0,3.258
90,2018 W38,R,AZ_PHO,IL_CHI,2.13903642,NA,0,103.4285714,NA,11.114864,107.2619048,106.6071429,105.5,105.1428571,0.0075,0.004642857,0,0,0,0,1,3.268
91,2018 W39,R,AZ_PHO,IL_CHI,2.151715481,NA,0.128571429,102.8571429,NA,11.29868708,106.5714286,105.5178571,104.75,103.1428571,0.018214286,0.020714286,0.032142857,0.064285714,0,0,1,3.271
92,2018 W40,R,AZ_PHO,IL_CHI,2.164394542,NA,0.07,85.85714286,NA,11.48251017,104.9642857,102.8035714,99.75,94.35714286,0.020357143,0.029464286,0.049642857,0.099285714,0,0,1,3.313
93,2018 W41,R,AZ_PHO,IL_CHI,2.177073604,NA,0.125714286,83.14285714,NA,11.66633325,103.1071429,100.0357143,93.82142857,84.5,0.030119048,0.040535714,0.081071429,0.097857143,0,0,1,3.385
94,2018 W42,R,AZ_PHO,IL_CHI,2.189752665,NA,0,83.42857143,NA,11.85015633,100.6785714,97.16071429,88.82142857,83.28571429,0.030119048,0.040535714,0.081071429,0.062857143,0,0,1,3.394
95,2018 W43,R,AZ_PHO,IL_CHI,2.202431726,NA,0,90,NA,12.03397942,98.88095238,95.17857143,85.60714286,86.71428571,0.030119048,0.040535714,0.048928571,0,0,0,1,3.38
96,2018 W44,R,AZ_PHO,IL_CHI,2.215110788,NA,0,85.28571429,NA,12.2178025,97.02380952,92.60714286,85.46428571,87.64285714,0.030119048,0.040535714,0.031428571,0,0,0,1,3.355
97,2018 W45,R,AZ_PHO,IL_CHI,2.227789849,2.227789849,0,80.57142857,12.40162559,12.40162559,94.96428571,89.32142857,84.82142857,82.92857143,0.02702381,0.040535714,0,0,1,0,0,3.338
98,2018 W46,R,AZ_PHO,IL_CHI,2.219681771,2.219681771,0,73.28571429,9.909473876,9.909473876,92.20238095,85.55357143,82.28571429,76.92857143,0.02702381,0.040535714,0,0,1,0,0,3.317
99,2018 W47,R,AZ_PHO,IL_CHI,2.158456639,2.158456639,0,74,18.65460535,18.65460535,89.54761905,81.94642857,78.28571429,73.64285714,0.02702381,0.024464286,0,0,0,1,0,3.282
